Gateway Left,7/12/2021,19:54,00:00.3
Gateway Left,7/12/2021,20:03,00:05.6
Gateway Left,7/12/2021,20:08,00:00.2
Gateway Left,7/13/2021,19:29,00:00.3
Gateway Left,7/13/2021,19:31,00:00.2
Gateway Left,7/13/2021,19:32,00:00.2
Gateway Left,7/13/2021,19:32,00:00.3
Gateway Left,7/13/2021,19:34,00:00.3
Gateway Left,7/13/2021,19:35,00:00.2
Gateway Left,7/13/2021,19:37,00:00.2
Gateway Left,7/13/2021,19:37,00:00.2
Gateway Left,7/13/2021,19:38,00:00.2
Gateway Left,7/13/2021,19:44,00:00.2
Gateway Left,7/13/2021,19:46,00:00.2
Gateway Left,7/13/2021,19:50,00:00.2
Gateway Left,7/13/2021,19:52,00:00.2
Gateway Left,7/13/2021,20:03,00:00.3
Gateway Left,7/13/2021,20:03,00:00.2
Gateway Left,7/13/2021,20:06,00:00.2
Gateway Left,7/13/2021,20:07,00:00.3
Gateway Left,7/13/2021,20:08,00:00.2
Gateway Left,7/13/2021,20:08,00:32.1
Gateway Left,7/13/2021,20:10,00:00.2
Gateway Left,7/13/2021,20:14,00:00.2
Gateway Left,7/13/2021,20:16,00:00.2
Gateway Left,7/13/2021,20:20,00:00.3
Gateway Left,7/13/2021,20:21,00:00.2
Gateway Left,7/13/2021,20:23,00:00.2
Gateway Left,7/13/2021,20:25,00:00.2
Gateway Left,7/13/2021,20:26,00:00.3
Gateway Left,7/13/2021,20:28,00:00.2
Gateway Left,7/13/2021,20:32,00:00.2
Gateway Left,7/13/2021,20:33,00:03.4
Gateway Left,7/13/2021,20:34,00:00.3
Gateway Left,7/13/2021,20:35,00:00.2
Gateway Left,7/13/2021,20:35,00:25.7
Gateway Left,7/13/2021,20:38,00:00.2
Gateway Left,7/13/2021,20:39,00:00.2
Gateway Left,7/13/2021,20:40,00:00.2
Gateway Left,7/13/2021,20:41,00:00.2
Gateway Left,7/13/2021,20:43,00:00.3
Gateway Left,7/13/2021,20:44,00:00.2
Gateway Left,7/13/2021,20:47,00:00.2
Gateway Left,7/13/2021,20:47,00:00.2
Gateway Left,7/13/2021,20:49,00:00.2
Gateway Left,7/13/2021,20:52,00:01.2
Gateway Left,7/13/2021,20:59,00:00.3
Gateway Left,7/13/2021,21:00,00:00.2
Gateway Left,7/13/2021,21:03,00:00.3
Gateway Left,7/13/2021,23:14,00:00.2
Gateway Left,7/14/2021,10:32,25:24.4
Gateway Left,7/14/2021,15:07,00:01.2
Gateway Left,7/14/2021,15:09,00:00.3
Gateway Left,7/14/2021,16:42,00:00.2
Gateway Left,7/14/2021,17:25,00:00.2
Gateway Left,7/14/2021,17:25,00:00.2
Gateway Left,7/14/2021,17:39,00:00.3
Gateway Left,7/14/2021,17:41,00:00.3
Gateway Left,7/14/2021,17:42,00:00.3
Gateway Left,7/14/2021,17:44,00:00.3
Gateway Left,7/14/2021,17:45,00:00.2
Gateway Left,7/15/2021,0:00,00:00.3
Gateway Left,7/15/2021,0:26,00:22.2
